gameId,playId,nflId,tackle,assist,forcedFumble,pff_missedTackle,V1,displayName,frameId,time,club,playDirection,x,y,s,a,dis,o,dir,event,weight,position,height_in,ballCarrierIndicator,tackleIndicator,football_dist_snap,orientation_snap,snap_tackle_time,speed_diff_bc_vs_tackle_snap,football_dist_t,orientation_t,speed_diff_bc_vs_tackle_t,player_start_x,player_start_y,x_dist_football,y_dist_football,ball_start_x,ball_start_y
2022090800,56,43294,1,0,0,0,150,Jalen Ramsey,18,2022-09-08T20:24:06Z,LA,left,78.66,33.87,1.1,3.17,0.12,116.19,127.74,tackle,208,CB,73,0,1,9.94941828406542,139.54,1,0.73,2.82460702077174,116.19,-0.48,77.95,40.78,7.1000030517578,-6.969998626709,85.0500030517578,33.810001373291
2022090800,80,53532,1,0,0,0,1162,Ernest Jones,26,2022-09-08T20:24:38Z,LA,left,72.96,42.23,5.62,1.95,0.56,336.48,327.47,tackle,230,ILB,74,0,1,10.8342066001074,119.47,3,2.89,0.29410823196341,336.48,-0.34,73.89,35.52,9.5800012207031,-5.0600009155273,83.4700012207031,30.4599990844727
2022090800,101,42816,1,0,0,0,1437,Troy Hill,45,2022-09-08T20:25:12Z,LA,left,69.08,39.5,1.8,4.97,0.2,210.96,198.3,tackle,184,CB,71,0,1,13.4269306473667,112.17,4,-0.06,2.84297378013845,210.96,2.94,64.67,40.76,7.3599987792969,-11.2299993133545,72.0299987792969,29.5300006866455
2022090800,122,38577,1,0,0,0,2385,Bobby Wagner,29,2022-09-08T20:25:53Z,LA,left,60.31,47.9,3.19,2.9,0.33,245.75,289.12,tackle,242,ILB,72,0,1,12.5220017034082,48.19,2,-1.06,0.608767668609281,245.75,0.8,60.07,33.35,12.4700009155273,1.1400016784668,72.5400009155273,34.4900016784668
2022090800,146,38577,0,1,0,0,3190,Bobby Wagner,52,2022-09-08T20:26:34Z,LA,left,57.05,21.36,2.16,2.57,0.2,134.16,202.39,tackle,242,ILB,72,0,1,5.56978512991607,120.61,15,0.03,1.63266641279803,134.16,-1.71,53.77,28.06,5.4300007629395,1.2399992370605,59.2000007629395,29.2999992370605
2022090800,167,43298,1,0,0,0,4542,Leonard Floyd,18,2022-09-08T20:27:12Z,LA,left,46.84,25.08,4.16,6.63,0.46,221.59,237.47,tackle,240,DE,77,0,1,7.17018882215539,149.54,2,1.63,1.58221314444311,221.59,1.55,52.42,32.11,5.1000004577637,-5.0400003051758,57.5200004577637,27.0699996948242
2022090800,191,52492,1,0,0,0,5790,Terrell Lewis,47,2022-09-08T20:27:46Z,LA,left,44.68,41.85,1.34,1.64,0.14,273.63,325.19,tackle,252,OLB,77,0,1,7.01911745941467,99.47,4,0,0.681835813297111,273.63,1.85,44.29,30.61,0.739998779296904,-6.9800008392334,45.0299987792969,23.6299991607666
2022090800,212,38577,1,0,0,0,6077,Bobby Wagner,12,2022-09-08T20:28:26Z,LA,left,35.32,50.17,6.8,4.19,0.7,6.31,327.66,tackle,242,ILB,72,0,1,4.00959002979526,354.72,1,-0.289999999999999,0.120415730368426,6.31,-0.9,39.11,42.05,3.5200010681152,1.9200012207031,42.6300010681152,43.9700012207031
2022090800,299,53459,1,0,0,0,7473,Gregory Rousseau,49,2022-09-08T20:33:35Z,BUF,right,31.37,31.25,1.71,2.37,0.21,278.98,25.11,tackle,253,DE,79,0,1,4.26973104036357,277.52,5,0,1.22576532613942,278.98,-1.19,27.13,19.43,-0.4100006866455,4.2500003051758,26.7199993133545,23.6800003051758
2022090800,343,46085,1,0,0,0,8061,Tremaine Edmunds,35,2022-09-08T20:34:35Z,BUF,right,28.64,29.31,2.13,1.11,0.19,246.3,209.22,tackle,250,ILB,77,0,1,4.51187271771253,274.03,3,-1.09,0.360555669246655,246.3,1.96,31.2,29.59,-4.5099994659424,-0.130000915527301,26.6900005340576,29.4599990844727
2022090800,393,46232,1,0,0,0,9369,Tim Settle,52,2022-09-08T20:36:03Z,BUF,right,53.06,20.15,1.68,1.91,0.18,233.55,159.4,tackle,308,DT,75,0,1,1.52427098794101,250.63,5,0.03,1.06066047173081,233.55,-1.51,52.27,25.18,-0.470000762939506,-1.4500004577637,51.7999992370605,23.7299995422363
2022090800,414,52647,1,0,0,0,10558,Dane Jackson,35,2022-09-08T20:36:27Z,BUF,right,59.73,4.14,2.58,3.4,0.27,232.65,258.91,tackle,185,CB,71,0,1,17.3665217232444,14.52,4,-1.22,2.78582257359969,232.65,2.19,63.23,14.4,-16.6899990844727,4.8000007629395,46.5400009155273,19.2000007629395
2022090800,486,40166,1,0,0,0,10830,Jordan Poyer,25,2022-09-08T20:37:58Z,BUF,right,60.74,20.49,2.31,1.13,0.23,30.26,308.98,tackle,191,SS,72,0,1,12.8195188971242,256.3,2,-0.680000000000001,0.408166802736152,30.26,1.05,67.7,20.91,-11.7999984741211,5.0100000762939,55.9000015258789,25.9200000762939
2022090800,529,42816,1,0,0,0,11651,Troy Hill,50,2022-09-08T20:41:41Z,LA,left,95.1,33.86,1.62,1.7,0.17,269.37,303.38,tackle,184,CB,71,0,1,7.85643465612674,72.18,5,-0.12,1.02004801319341,269.37,1.37,96.27,23.52,4.999996643066,6.0599999237061,101.269996643066,29.5799999237061
2022090800,569,48026,1,0,0,0,12839,Nick Scott,8,2022-09-08T20:43:00Z,LA,left,86.28,37.55,5.04,1.85,0.5,309.22,350.27,tackle,200,SS,71,0,1,5.74766020775156,23.62,1,2.95,0.417730725890976,309.22,-0.7,86.59,34.37,5.66,0.999998931884804,92.25,35.3699989318848
2022090800,593,48026,0,1,0,0,13460,Nick Scott,29,2022-09-08T20:43:37Z,LA,left,76.09,6.69,0.51,3.94,0.06,123.04,238.1,tackle,200,SS,71,0,1,17.6898502701053,127.31,3,0.819999999999999,2.2803705319278,123.04,2.92,69.33,19.48,17.549997253418,-2.2199997711182,86.879997253418,17.2600002288818
2022090800,617,43294,1,0,0,0,13798,Jalen Ramsey,16,2022-09-08T20:44:16Z,LA,left,61.87,0.71,2.56,4.24,0.28,179.21,166.47,tackle,208,CB,73,0,1,8.93288783890846,97.73,2,0.949999999999999,0.888144134218722,179.21,1.19,59.35,7.17,8.6099990844727,2.38000019073486,67.9599990844727,9.55000019073486
